"numero";"anno"
0;2022
1;2022
1;2023
2;2023
3;2023
4;2023
5;2023
6;2023
7;2023
8;2023
9;2023
10;2023
11;2023
12;2023
13;2023
14;2023
15;2023
16;2023
17;2023
18;2023
19;2023
20;2023
21;2023
22;2023
23;2023
24;2023
25;2023
26;2023
27;2023
28;2023
29;2023
30;2023
31;2023
32;2023
33;2023
34;2023
35;2023
36;2023
37;2023
38;2023
39;2023
40;2023
41;2023
42;2023
43;2023
44;2023
45;2023
46;2023
47;2023
48;2023
49;2023
50;2023
51;2023
52;2023
53;2023
54;2023
55;2023
56;2023
57;2023
58;2023
59;2023
60;2023
61;2023
62;2023
63;2023
64;2023
65;2023
66;2023
67;2023
68;2023
69;2023
70;2023
71;2023
72;2023
73;2023
74;2023
75;2023
76;2023
77;2023
78;2023
79;2023
80;2023
81;2023
82;2023
83;2023
84;2023
85;2023
86;2023
87;2023
88;2023
89;2023
90;2023
91;2023
92;2023
93;2023
94;2023
95;2023
96;2023
97;2023
98;2023
99;2023
100;2023
101;2023
102;2023
103;2023
104;2023
105;2023
106;2023
107;2023
108;2023
109;2023
110;2023
111;2023
112;2023
113;2023
114;2023
115;2023
116;2023
117;2023
118;2023
119;2023
120;2023
121;2023
122;2023
123;2023
124;2023
125;2023
126;2023
127;2023
128;2023
129;2023
130;2023
131;2023
132;2023
133;2023
134;2023
135;2023
136;2023
137;2023
138;2023
139;2023
140;2023
141;2023
142;2023
143;2023
144;2023
145;2023
146;2023
147;2023
148;2023
149;2023
150;2023
151;2023
152;2023
153;2023
154;2023
155;2023
156;2023
157;2023
158;2023
159;2023
160;2023
161;2023
162;2023
163;2023
164;2023
165;2023
166;2023
167;2023
168;2023
169;2023
170;2023
171;2023
172;2023
173;2023
174;2023
175;2023
176;2023
177;2023
178;2023
179;2023
180;2023
181;2023
182;2023
183;2023
184;2023
185;2023
186;2023
187;2023
188;2023
189;2023
190;2023
191;2023
192;2023
193;2023
194;2023
195;2023
196;2023
197;2023
198;2023
199;2023
200;2023
201;2023
202;2023
203;2023
204;2023
205;2023
206;2023
207;2023
208;2023
209;2023
210;2023
211;2023
212;2023
213;2023
214;2023
215;2023
216;2023
217;2023
218;2023
219;2023
220;2023
221;2023
222;2023
223;2023
224;2023
225;2023
226;2023
227;2023
228;2023
229;2023
230;2023
231;2023
232;2023
233;2023
234;2023
235;2023
236;2023
237;2023
239;2023
240;2023
241;2023
242;2023
243;2023
244;2023
245;2023
246;2023
247;2023
248;2023
249;2023
250;2023
251;2023
252;2023
253;2023
254;2023
255;2023
256;2023
257;2023
258;2023
259;2023
260;2023
261;2023
262;2023
263;2023
264;2023
265;2023
266;2023
267;2023
268;2023
269;2023
270;2023
271;2022
271;2023
272;2022
272;2023
273;2022
273;2023
274;2022
274;2023
275;2022
275;2023
276;2022
276;2023
277;2022
277;2023
278;2022
278;2023
279;2022
279;2023
280;2022
280;2023
281;2022
281;2023
282;2022
282;2023
283;2022
283;2023
284;2022
284;2023
285;2022
285;2023
286;2022
286;2023
287;2022
287;2023
288;2022
288;2023
289;2022
289;2023
290;2022
290;2023
291;2022
291;2023
292;2022
293;2022
294;2022
295;2022
296;2022
297;2022
298;2022
299;2022
300;2022
301;2022
302;2022
303;2022
304;2022
305;2022
306;2022
307;2022
308;2022
309;2022
310;2022
311;2022
312;2022
313;2022
314;2022
315;2022
316;2022
317;2022
318;2022
319;2022
320;2022
321;2022
322;2022
323;2022
324;2022
325;2022
326;2022
327;2022
328;2022
329;2022
330;2022
331;2022
332;2022
333;2022
334;2022
335;2022
336;2022
337;2022
338;2022
339;2022
340;2022
341;2022
342;2022
343;2022
344;2022
345;2022
346;2022
347;2022
348;2022
349;2022
350;2022
351;2022
352;2022
353;2022
354;2022
355;2022
356;2022
357;2022
358;2022
359;2022
360;2022
361;2022
362;2022
363;2022
364;2022
365;2022
366;2022
367;2022
368;2022
369;2022
370;2022
371;2022
372;2022
373;2022
374;2022
375;2022
376;2022
377;2022
378;2022
379;2022
380;2022
381;2022
382;2022
383;2022
384;2022
385;2022
386;2022
387;2022
388;2022
389;2022
390;2022
391;2022
392;2022
393;2022
394;2022
395;2022
396;2022
397;2022
398;2022
399;2022
400;2022
401;2022
402;2022
403;2022
404;2022
405;2022
406;2022
407;2022
408;2022
409;2022
410;2022
411;2022
412;2022
413;2022
414;2022
415;2022
416;2022
417;2022
418;2022
419;2022
420;2022
421;2022
422;2022
423;2022
424;2022
425;2022
426;2022
427;2022
428;2022
429;2022
430;2022
431;2022
432;2022
433;2022
434;2022
435;2022
436;2022
437;2022
438;2022
439;2022
440;2022
441;2022
442;2022
443;2022
444;2022
445;2022
446;2022
447;2022
448;2022
449;2022
450;2022
451;2022
452;2022
453;2022
454;2022
455;2022
456;2022
457;2022
458;2022
459;2022
460;2022
461;2022
462;2022
463;2022
464;2022
465;2022
466;2022
467;2022
468;2022
469;2022
470;2022
471;2022
472;2022
473;2022
474;2022
475;2022
476;2022
477;2022
478;2022
479;2022
480;2022
481;2022
482;2022
483;2022
484;2022
485;2022
486;2022
487;2022
488;2022
489;2022
490;2022
491;2022
492;2022
493;2022
494;2022
495;2022
